timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
158,0.8244,0.8415,0.8268,0.8317,0.8073,0.8268,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.8271
159,0.8244,0.8415,0.8268,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.8276
160,0.8244,0.8415,0.8268,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.8276
161,0.8244,0.8415,0.8268,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.8276
162,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
163,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
164,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
165,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
166,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
167,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
168,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
169,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
170,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8146,0.8439,0.8439,0.8073,0.828
171,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8171,0.8439,0.8439,0.8073,0.8283
172,0.8244,0.8439,0.8293,0.8317,0.8073,0.8317,0.8122,0.8415,0.8171,0.8439,0.8439,0.8073,0.8283
173,0.8244,0.8439,0.8317,0.8317,0.8073,0.8317,0.8122,0.8415,0.8195,0.8439,0.8439,0.8073,0.8288
174,0.8244,0.8439,0.8317,0.8317,0.8073,0.8317,0.8122,0.8415,0.8195,0.8439,0.8439,0.8073,0.8288
175,0.8244,0.8439,0.8317,0.8317,0.8073,0.8317,0.8146,0.8415,0.8195,0.8439,0.8439,0.8073,0.829
176,0.8244,0.8439,0.8317,0.8317,0.8073,0.8317,0.8146,0.8415,0.822,0.8439,0.8439,0.8073,0.8293
177,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.822,0.8439,0.8439,0.8146,0.8305
178,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.822,0.8439,0.8439,0.8146,0.8305
179,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.822,0.8439,0.8439,0.8146,0.8305
180,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.822,0.8439,0.8439,0.8146,0.8305
181,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.8244,0.8439,0.8439,0.8146,0.8307
182,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.8244,0.8463,0.8463,0.8146,0.831
183,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.8244,0.8463,0.8463,0.8146,0.831
184,0.8244,0.8439,0.8317,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8315
185,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
186,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
187,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
188,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
189,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
190,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
191,0.8244,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8322
192,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
193,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
194,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
195,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
196,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
197,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
198,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8415,0.8293,0.8463,0.8463,0.8146,0.8332
199,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8334
200,0.8341,0.8439,0.839,0.8317,0.8195,0.8317,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8334
201,0.8341,0.8439,0.839,0.8317,0.8268,0.8317,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8341
202,0.8341,0.8439,0.839,0.8317,0.8268,0.8317,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8341
203,0.8341,0.8439,0.839,0.8317,0.8268,0.8366,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8346
204,0.8341,0.8439,0.839,0.8317,0.8268,0.839,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8349
205,0.8341,0.8439,0.839,0.8317,0.8341,0.839,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8356
206,0.8341,0.8439,0.839,0.8317,0.8341,0.839,0.8146,0.8439,0.8293,0.8463,0.8463,0.8146,0.8356
