timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
310,0.1955,0.3773,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3773,0.1409,0.2425
311,0.2023,0.3773,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3773,0.1409,0.2432
312,0.2023,0.3773,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3773,0.1409,0.2432
313,0.2023,0.3773,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3773,0.1409,0.2432
314,0.2023,0.3773,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3773,0.1409,0.2432
315,0.2023,0.3795,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3795,0.1409,0.2434
316,0.2023,0.3795,0.25,0.1409,0.2136,0.2045,0.3205,0.2432,0.25,0.2295,0.3795,0.1409,0.2434
317,0.2023,0.3795,0.25,0.1409,0.2159,0.2045,0.3205,0.2432,0.25,0.2295,0.3795,0.1409,0.2436
318,0.2023,0.3795,0.25,0.1409,0.2159,0.2045,0.3205,0.2432,0.25,0.2295,0.3795,0.1409,0.2436
319,0.2023,0.3795,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3795,0.1409,0.2438
320,0.2023,0.3795,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3795,0.1409,0.2438
321,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
322,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
323,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
324,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
325,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
326,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
327,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
328,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
329,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
330,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
331,0.2023,0.3818,0.25,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2441
332,0.2023,0.3818,0.2523,0.1409,0.2159,0.2045,0.3227,0.2432,0.25,0.2295,0.3818,0.1409,0.2443
